# team member agent-type home-dir backend session
testbed stub-alpha lead /opt/testbed - -
testbed stub-beta stub /opt/testbed - -
testbed tester claude /opt/testbed herdr default
testbed hermes hermes /opt/data - -
testbed oversight stub /opt/testbed - -
e0-smoke fx-e0-alpha stub /opt/testbed/e0 - -
e0-smoke fx-e0-beta stub /opt/testbed/e0 - -
fx-at0 fx-at0-alpha stub /opt/testbed/at0 - -
fx-at0 fx-at0-beta stub /opt/testbed/at0 - -
fx-at1 fx-at1-alpha stub /opt/testbed/at1 - -
fx-at1 fx-at1-beta stub /opt/testbed/at1 - -
fx-at2 fx-at2-alpha stub /opt/testbed/at2 - -
fx-at2 fx-at2-beta stub /opt/testbed/at2 - -
fx-at3 fx-at3-alpha stub /opt/testbed/at3 - -
fx-at4 fx-at4-alpha stub /opt/testbed/at4 - -
fx-at4 fx-at4-beta stub /opt/testbed/at4 - -
fx-at5 fx-at5-alpha stub /opt/testbed/at5 - -
fx-at5 fx-at5-beta stub /opt/testbed/at5 - -
fx-at6 fx-at6-alpha stub /opt/testbed/at6 - -
fx-at6 fx-at6-beta stub /opt/testbed/at6 - -
fx-at7 fx-at7-alpha stub /opt/testbed/at7 - -
fx-at7 fx-at7-beta stub /opt/testbed/at7 herdr -
fx-at8 fx-at8-alpha stub /opt/testbed/at8 - -
fx-at8 fx-at8-beta stub /opt/testbed/at8 - -
fx-at9 fx-at9-alpha stub /opt/testbed/at9 - -
fx-at9 fx-at9-beta stub /opt/testbed/at9 - -
fx-at10 fx-at10-alpha stub /opt/testbed/at10 - -
fx-at10 fx-at10-beta stub /opt/testbed/at10 - -
fx-at11 fx-at11-alpha stub /opt/testbed/at11 - -
fx-at11 fx-at11-beta stub /opt/testbed/at11 - -
